row_id,attacker_model,dataset,attack_type,victim_model,attack_method,similarity,clean_similarity,threshold,breach,impact
12,GhostFaceNet,celeba_pairs,impersonation_attack,ArcFace,ATT,0.3388406233211901,0.2072169482707977,0.389981,0,0.13162367505039238
26,GhostFaceNet,celeba_pairs,impersonation_attack,ArcFace,ATT,0.0965194024567453,0.0089564956724643,0.389981,0,0.087562906784281
34,GhostFaceNet,celeba_pairs,impersonation_attack,ArcFace,ATT,0.0883129940707239,0.1476320326328277,0.389981,0,-0.0593190385621038
3,GhostFaceNet,vggface2_pairs,impersonation_attack,ArcFace,ATT,0.2305702693830522,0.0339482352137565,0.423448,0,0.1966220341692957
5,GhostFaceNet,vggface2_pairs,impersonation_attack,ArcFace,ATT,0.0745531727334474,0.0034883907064795,0.423448,0,0.07106478202696791
17,GhostFaceNet,vggface2_pairs,impersonation_attack,ArcFace,ATT,0.2777996352409358,0.3356752395629883,0.423448,0,-0.057875604322052465
19,GhostFaceNet,vggface2_pairs,impersonation_attack,ArcFace,ATT,0.3270988212347283,0.1917921304702758,0.423448,0,0.13530669076445248
21,GhostFaceNet,vggface2_pairs,impersonation_attack,ArcFace,ATT,0.2674947389419431,0.1859162747859954,0.423448,0,0.08157846415594769
6,GhostFaceNet,lfw_pairs,dodging_attack,ArcFace,ATT,0.5057184461691611,0.7488540410995483,0.380176,0,0.24313559493038728
9,GhostFaceNet,lfw_pairs,dodging_attack,ArcFace,ATT,0.483660604821126,0.2683088183403015,0.380176,0,-0.21535178648082448
15,GhostFaceNet,lfw_pairs,dodging_attack,ArcFace,ATT,0.4349144177825305,0.6775953769683838,0.380176,0,0.2426809591858533
16,GhostFaceNet,lfw_pairs,dodging_attack,ArcFace,ATT,0.4931520992488819,0.6158847212791443,0.380176,0,0.12273262203026236
23,GhostFaceNet,lfw_pairs,dodging_attack,ArcFace,ATT,0.44097164059112,0.6419427394866943,0.380176,0,0.20097109889557435
18,GhostFaceNet,celeba_pairs,dodging_attack,ArcFace,ATT,0.5449435470740487,0.7534175515174866,0.389981,0,0.2084740044434379
27,GhostFaceNet,celeba_pairs,dodging_attack,ArcFace,ATT,0.4862754688724794,0.7247549891471863,0.389981,0,0.23847952027470687
28,GhostFaceNet,celeba_pairs,dodging_attack,ArcFace,ATT,0.4850853981385103,0.3586554825305938,0.389981,0,-0.1264299156079165
30,GhostFaceNet,celeba_pairs,dodging_attack,ArcFace,ATT,0.445052955062016,0.5551614761352539,0.389981,0,0.11010852107323793
33,GhostFaceNet,celeba_pairs,dodging_attack,ArcFace,ATT,0.5907765429322742,0.8753218650817871,0.389981,0,0.2845453221495129
1,GhostFaceNet,vggface2_pairs,dodging_attack,ArcFace,ATT,0.3580319097027336,0.3415670692920685,0.423448,1,-0.016464840410665094
4,GhostFaceNet,vggface2_pairs,dodging_attack,ArcFace,ATT,0.0848490915985983,0.017865490168333,0.423448,1,-0.0669836014302653
7,GhostFaceNet,vggface2_pairs,dodging_attack,ArcFace,ATT,0.4165031711663305,0.6302404403686523,0.423448,1,0.21373726920232183
10,GhostFaceNet,vggface2_pairs,dodging_attack,ArcFace,ATT,0.7099448087936236,0.5862312316894531,0.423448,0,-0.12371357710417052
11,GhostFaceNet,vggface2_pairs,dodging_attack,ArcFace,ATT,0.2943169783017695,0.1998281925916671,0.423448,1,-0.09448878571010241
0,VGG-Face,lfw_pairs,impersonation_attack,ArcFace,ATT,0.2636800733462735,0.2113871872425079,0.380176,0,0.05229288610376562
32,VGG-Face,lfw_pairs,impersonation_attack,ArcFace,ATT,0.1712645080424713,0.0229567140340805,0.380176,0,0.14830779400839078
48,VGG-Face,lfw_pairs,impersonation_attack,ArcFace,ATT,0.1058299340404695,0.1083588227629661,0.380176,0,-0.0025288887224965972
57,VGG-Face,lfw_pairs,impersonation_attack,ArcFace,ATT,0.2874522266254615,0.2939320802688598,0.380176,0,-0.0064798536433983145
60,VGG-Face,lfw_pairs,impersonation_attack,ArcFace,ATT,0.290152083686463,0.0810950919985771,0.380176,0,0.20905699168788588
2,VGG-Face,celeba_pairs,impersonation_attack,ArcFace,ATT,0.4577320093593988,0.2291036397218704,0.389981,1,0.2286283696375284
8,VGG-Face,celeba_pairs,impersonation_attack,ArcFace,ATT,0.4200110462396214,0.1708459556102752,0.389981,1,0.24916509062934616
12,VGG-Face,celeba_pairs,impersonation_attack,ArcFace,ATT,0.339597577490878,0.2072169482707977,0.389981,0,0.1323806292200803
26,VGG-Face,celeba_pairs,impersonation_attack,ArcFace,ATT,0.2717347745593487,0.0089564956724643,0.389981,0,0.2627782788868844
34,VGG-Face,celeba_pairs,impersonation_attack,ArcFace,ATT,0.349171650003139,0.1476320326328277,0.389981,0,0.20153961737031129
3,VGG-Face,vggface2_pairs,impersonation_attack,ArcFace,ATT,0.4146334520780517,0.0339482352137565,0.423448,0,0.3806852168642952
5,VGG-Face,vggface2_pairs,impersonation_attack,ArcFace,ATT,0.0897747431651677,0.0034883907064795,0.423448,0,0.08628635245868821
17,VGG-Face,vggface2_pairs,impersonation_attack,ArcFace,ATT,0.620421728070765,0.3356752395629883,0.423448,1,0.28474648850777673
19,VGG-Face,vggface2_pairs,impersonation_attack,ArcFace,ATT,0.4836924972114854,0.1917921304702758,0.423448,1,0.29190036674120956
21,VGG-Face,vggface2_pairs,impersonation_attack,ArcFace,ATT,0.3176491762189976,0.1859162747859954,0.423448,0,0.13173290143300218
6,VGG-Face,lfw_pairs,dodging_attack,ArcFace,ATT,0.3125402234289766,0.7488540410995483,0.380176,1,0.43631381767057176
9,VGG-Face,lfw_pairs,dodging_attack,ArcFace,ATT,0.3796949253945786,0.2683088183403015,0.380176,1,-0.1113861070542771
15,VGG-Face,lfw_pairs,dodging_attack,ArcFace,ATT,0.3599124513211614,0.6775953769683838,0.380176,1,0.3176829256472224
16,VGG-Face,lfw_pairs,dodging_attack,ArcFace,ATT,0.0036941249380681,0.6158847212791443,0.380176,1,0.6121905963410762
23,VGG-Face,lfw_pairs,dodging_attack,ArcFace,ATT,0.1783060634677006,0.6419427394866943,0.380176,1,0.4636366760189937
18,VGG-Face,celeba_pairs,dodging_attack,ArcFace,ATT,0.4450058099358083,0.7534175515174866,0.389981,0,0.3084117415816783
27,VGG-Face,celeba_pairs,dodging_attack,ArcFace,ATT,0.4334940401564239,0.7247549891471863,0.389981,0,0.2912609489907624
28,VGG-Face,celeba_pairs,dodging_attack,ArcFace,ATT,0.3006515847567156,0.3586554825305938,0.389981,1,0.05800389777387821
30,VGG-Face,celeba_pairs,dodging_attack,ArcFace,ATT,0.3380462535742439,0.5551614761352539,0.389981,1,0.21711522256101
33,VGG-Face,celeba_pairs,dodging_attack,ArcFace,ATT,0.4470828029860194,0.8753218650817871,0.389981,0,0.42823906209576773
1,VGG-Face,vggface2_pairs,dodging_attack,ArcFace,ATT,0.1978401583892801,0.3415670692920685,0.423448,1,0.14372691090278839
4,VGG-Face,vggface2_pairs,dodging_attack,ArcFace,ATT,0.0636485333702777,0.017865490168333,0.423448,1,-0.045783043201944706
7,VGG-Face,vggface2_pairs,dodging_attack,ArcFace,ATT,0.3224513456868877,0.6302404403686523,0.423448,1,0.30778909468176463
10,VGG-Face,vggface2_pairs,dodging_attack,ArcFace,ATT,0.5990719476508838,0.5862312316894531,0.423448,0,-0.01284071596143066
11,VGG-Face,vggface2_pairs,dodging_attack,ArcFace,ATT,0.3443272170502549,0.1998281925916671,0.423448,1,-0.14449902445858778
0,ArcFace,lfw_pairs,impersonation_attack,Facenet512,ATT,0.5712248903548863,0.2037829756736755,0.306555,1,0.3674419146812108
32,ArcFace,lfw_pairs,impersonation_attack,Facenet512,ATT,0.4528999977351385,0.0512039996683597,0.306555,1,0.4016959980667788
48,ArcFace,lfw_pairs,impersonation_attack,Facenet512,ATT,-0.0270311166572253,-0.1588931530714035,0.306555,0,0.1318620364141782
57,ArcFace,lfw_pairs,impersonation_attack,Facenet512,ATT,0.4205301978689639,0.1256765872240066,0.306555,1,0.2948536106449573
60,ArcFace,lfw_pairs,impersonation_attack,Facenet512,ATT,0.4112100962491934,0.1686835289001464,0.306555,1,0.242526567349047
2,ArcFace,celeba_pairs,impersonation_attack,Facenet512,ATT,0.3217830636401199,0.0810722559690475,0.293804,1,0.2407108076710724
8,ArcFace,celeba_pairs,impersonation_attack,Facenet512,ATT,0.0653035113606781,-0.2507398426532745,0.293804,0,0.31604335401395256
12,ArcFace,celeba_pairs,impersonation_attack,Facenet512,ATT,0.2819074373334917,0.0975427031517028,0.293804,0,0.18436473418178892
26,ArcFace,celeba_pairs,impersonation_attack,Facenet512,ATT,0.0371771440798008,-0.209015667438507,0.293804,0,0.2461928115183078
34,ArcFace,celeba_pairs,impersonation_attack,Facenet512,ATT,0.3596212657860148,0.0368540957570076,0.293804,1,0.3227671700290072
3,ArcFace,vggface2_pairs,impersonation_attack,Facenet512,ATT,0.1457340361238702,0.0153017658740282,0.35762,0,0.130432270249842
5,ArcFace,vggface2_pairs,impersonation_attack,Facenet512,ATT,-0.0936561080702353,-0.0816236436367034,0.35762,0,-0.012032464433531911
17,ArcFace,vggface2_pairs,impersonation_attack,Facenet512,ATT,0.544333264106275,-0.0131816901266574,0.35762,1,0.5575149542329324
19,ArcFace,vggface2_pairs,impersonation_attack,Facenet512,ATT,-0.0135768302237319,0.0531447790563106,0.35762,0,-0.0667216092800425
21,ArcFace,vggface2_pairs,impersonation_attack,Facenet512,ATT,0.0174731888292196,-0.2023607045412063,0.35762,0,0.21983389337042591
6,ArcFace,lfw_pairs,dodging_attack,Facenet512,ATT,0.3046903820700996,0.7516776323318481,0.306555,1,0.44698725026174857
9,ArcFace,lfw_pairs,dodging_attack,Facenet512,ATT,0.7991331909937841,0.8218121528625488,0.306555,0,0.022678961868764724
15,ArcFace,lfw_pairs,dodging_attack,Facenet512,ATT,0.4121156468008075,0.6876072287559509,0.306555,0,0.27549158195514345
16,ArcFace,lfw_pairs,dodging_attack,Facenet512,ATT,0.7572781991728045,0.7765311598777771,0.306555,0,0.01925296070497262
23,ArcFace,lfw_pairs,dodging_attack,Facenet512,ATT,0.5902062526121545,0.7583963871002197,0.306555,0,0.1681901344880652
18,ArcFace,celeba_pairs,dodging_attack,Facenet512,ATT,0.4651460662828811,0.7128064632415771,0.293804,0,0.24766039695869607
27,ArcFace,celeba_pairs,dodging_attack,Facenet512,ATT,0.5202197296817123,0.8734109401702881,0.293804,0,0.3531912104885758
28,ArcFace,celeba_pairs,dodging_attack,Facenet512,ATT,0.7679411061060905,0.7959234714508057,0.293804,0,0.02798236534471521
30,ArcFace,celeba_pairs,dodging_attack,Facenet512,ATT,0.4941101450787034,0.7042645215988159,0.293804,0,0.21015437652011254
33,ArcFace,celeba_pairs,dodging_attack,Facenet512,ATT,0.798262533830109,0.9276920557022096,0.293804,0,0.12942952187210055
1,ArcFace,vggface2_pairs,dodging_attack,Facenet512,ATT,0.5155570775740971,0.822794497013092,0.35762,0,0.30723741943899496
4,ArcFace,vggface2_pairs,dodging_attack,Facenet512,ATT,0.236031895647111,0.52094566822052,0.35762,1,0.284913772573409
7,ArcFace,vggface2_pairs,dodging_attack,Facenet512,ATT,0.501095701851977,0.6818405389785767,0.35762,0,0.1807448371265996
10,ArcFace,vggface2_pairs,dodging_attack,Facenet512,ATT,0.7523914719632874,0.7888361215591431,0.35762,0,0.036444649595855694
11,ArcFace,vggface2_pairs,dodging_attack,Facenet512,ATT,0.5762725063245726,0.7133797407150269,0.35762,0,0.13710723439045425
0,Facenet512,lfw_pairs,impersonation_attack,Facenet512,ATT,0.7403171797309199,0.2037829756736755,0.306555,1,0.5365342040572444
32,Facenet512,lfw_pairs,impersonation_attack,Facenet512,ATT,0.6876442152520968,0.0512039996683597,0.306555,1,0.6364402155837372
48,Facenet512,lfw_pairs,impersonation_attack,Facenet512,ATT,0.4119412082769097,-0.1588931530714035,0.306555,1,0.5708343613483132
57,Facenet512,lfw_pairs,impersonation_attack,Facenet512,ATT,0.6626444669308972,0.1256765872240066,0.306555,1,0.5369678797068906
60,Facenet512,lfw_pairs,impersonation_attack,Facenet512,ATT,0.6792603353486076,0.1686835289001464,0.306555,1,0.5105768064484613
2,Facenet512,celeba_pairs,impersonation_attack,Facenet512,ATT,0.4302089568955399,0.0810722559690475,0.293804,1,0.3491367009264924
8,Facenet512,celeba_pairs,impersonation_attack,Facenet512,ATT,0.5167136487092626,-0.2507398426532745,0.293804,1,0.767453491362537
12,Facenet512,celeba_pairs,impersonation_attack,Facenet512,ATT,0.5242208749835482,0.0975427031517028,0.293804,1,0.4266781718318454
26,Facenet512,celeba_pairs,impersonation_attack,Facenet512,ATT,0.1798542570303635,-0.209015667438507,0.293804,0,0.3888699244688705
34,Facenet512,celeba_pairs,impersonation_attack,Facenet512,ATT,0.6614622616583953,0.0368540957570076,0.293804,1,0.6246081659013877
3,Facenet512,vggface2_pairs,impersonation_attack,Facenet512,ATT,0.4979039439498479,0.0153017658740282,0.35762,1,0.4826021780758197
5,Facenet512,vggface2_pairs,impersonation_attack,Facenet512,ATT,0.3760092701110163,-0.0816236436367034,0.35762,1,0.4576329137477197
