row_id,attacker_model,dataset,attack_type,victim_model,attack_method,similarity
48,ArcFace,lfw_pairs,impersonation_attack,Facenet512,ATT,-0.027031116657225365
57,ArcFace,lfw_pairs,impersonation_attack,Facenet512,ATT,0.4205301978689639
60,ArcFace,lfw_pairs,impersonation_attack,Facenet512,ATT,0.41121009624919347
2,ArcFace,celeba_pairs,impersonation_attack,Facenet512,ATT,0.3217830636401199
8,ArcFace,celeba_pairs,impersonation_attack,Facenet512,ATT,0.0653035113606781
12,ArcFace,celeba_pairs,impersonation_attack,Facenet512,ATT,0.2819074373334917
26,ArcFace,celeba_pairs,impersonation_attack,Facenet512,ATT,0.03717714407980087
34,ArcFace,celeba_pairs,impersonation_attack,Facenet512,ATT,0.35962126578601483
3,ArcFace,vggface2_pairs,impersonation_attack,Facenet512,ATT,0.1457340361238702
5,ArcFace,vggface2_pairs,impersonation_attack,Facenet512,ATT,-0.09365610807023537
17,ArcFace,vggface2_pairs,impersonation_attack,Facenet512,ATT,0.544333264106275
19,ArcFace,vggface2_pairs,impersonation_attack,Facenet512,ATT,-0.013576830223731929
21,ArcFace,vggface2_pairs,impersonation_attack,Facenet512,ATT,0.017473188829219624
6,ArcFace,lfw_pairs,dodging_attack,Facenet512,ATT,0.30469038207009963
9,ArcFace,lfw_pairs,dodging_attack,Facenet512,ATT,0.7991331909937841
15,ArcFace,lfw_pairs,dodging_attack,Facenet512,ATT,0.41211564680080753
16,ArcFace,lfw_pairs,dodging_attack,Facenet512,ATT,0.7572781991728045
23,ArcFace,lfw_pairs,dodging_attack,Facenet512,ATT,0.5902062526121545
18,ArcFace,celeba_pairs,dodging_attack,Facenet512,ATT,0.4651460662828811
27,ArcFace,celeba_pairs,dodging_attack,Facenet512,ATT,0.5202197296817123
28,ArcFace,celeba_pairs,dodging_attack,Facenet512,ATT,0.7679411061060905
30,ArcFace,celeba_pairs,dodging_attack,Facenet512,ATT,0.49411014507870343
33,ArcFace,celeba_pairs,dodging_attack,Facenet512,ATT,0.798262533830109
1,ArcFace,vggface2_pairs,dodging_attack,Facenet512,ATT,0.5155570775740971
4,ArcFace,vggface2_pairs,dodging_attack,Facenet512,ATT,0.236031895647111
7,ArcFace,vggface2_pairs,dodging_attack,Facenet512,ATT,0.501095701851977
10,ArcFace,vggface2_pairs,dodging_attack,Facenet512,ATT,0.7523914719632874
11,ArcFace,vggface2_pairs,dodging_attack,Facenet512,ATT,0.5762725063245726
0,Facenet512,lfw_pairs,impersonation_attack,Facenet512,ATT,0.7403171797309199
32,Facenet512,lfw_pairs,impersonation_attack,Facenet512,ATT,0.6876442152520968
48,Facenet512,lfw_pairs,impersonation_attack,Facenet512,ATT,0.4119412082769097
57,Facenet512,lfw_pairs,impersonation_attack,Facenet512,ATT,0.6626444669308972
60,Facenet512,lfw_pairs,impersonation_attack,Facenet512,ATT,0.6792603353486076
2,Facenet512,celeba_pairs,impersonation_attack,Facenet512,ATT,0.4302089568955399
8,Facenet512,celeba_pairs,impersonation_attack,Facenet512,ATT,0.5167136487092626
12,Facenet512,celeba_pairs,impersonation_attack,Facenet512,ATT,0.5242208749835482
26,Facenet512,celeba_pairs,impersonation_attack,Facenet512,ATT,0.17985425703036353
34,Facenet512,celeba_pairs,impersonation_attack,Facenet512,ATT,0.6614622616583953
3,Facenet512,vggface2_pairs,impersonation_attack,Facenet512,ATT,0.49790394394984794
5,Facenet512,vggface2_pairs,impersonation_attack,Facenet512,ATT,0.37600927011101637
17,Facenet512,vggface2_pairs,impersonation_attack,Facenet512,ATT,0.7459769279406483
19,Facenet512,vggface2_pairs,impersonation_attack,Facenet512,ATT,0.26113505008724053
21,Facenet512,vggface2_pairs,impersonation_attack,Facenet512,ATT,0.22889326075268307
6,Facenet512,lfw_pairs,dodging_attack,Facenet512,ATT,0.036732009546922344
9,Facenet512,lfw_pairs,dodging_attack,Facenet512,ATT,0.5891906860958698
15,Facenet512,lfw_pairs,dodging_attack,Facenet512,ATT,-0.0368205540437319
16,Facenet512,lfw_pairs,dodging_attack,Facenet512,ATT,0.5207877829811551
23,Facenet512,lfw_pairs,dodging_attack,Facenet512,ATT,0.24577463052053655
18,Facenet512,celeba_pairs,dodging_attack,Facenet512,ATT,0.03519739637881698
27,Facenet512,celeba_pairs,dodging_attack,Facenet512,ATT,0.14534189005554246
28,Facenet512,celeba_pairs,dodging_attack,Facenet512,ATT,0.4443753679555647
30,Facenet512,celeba_pairs,dodging_attack,Facenet512,ATT,-0.0014270794670644348
33,Facenet512,celeba_pairs,dodging_attack,Facenet512,ATT,0.5950955347659036
1,Facenet512,vggface2_pairs,dodging_attack,Facenet512,ATT,0.14802529980522175
4,Facenet512,vggface2_pairs,dodging_attack,Facenet512,ATT,-0.21816777757769726
7,Facenet512,vggface2_pairs,dodging_attack,Facenet512,ATT,0.24283810995637672
10,Facenet512,vggface2_pairs,dodging_attack,Facenet512,ATT,0.3827710191028534
11,Facenet512,vggface2_pairs,dodging_attack,Facenet512,ATT,-0.08773772534918418
0,GhostFaceNet,lfw_pairs,impersonation_attack,Facenet512,ATT,0.28148353592372716
32,GhostFaceNet,lfw_pairs,impersonation_attack,Facenet512,ATT,0.306173653336886
48,GhostFaceNet,lfw_pairs,impersonation_attack,Facenet512,ATT,-0.16272025034529064
57,GhostFaceNet,lfw_pairs,impersonation_attack,Facenet512,ATT,0.3375397712600976
60,GhostFaceNet,lfw_pairs,impersonation_attack,Facenet512,ATT,0.3169617443672942
2,GhostFaceNet,celeba_pairs,impersonation_attack,Facenet512,ATT,-0.004301258295344908
8,GhostFaceNet,celeba_pairs,impersonation_attack,Facenet512,ATT,0.22383318003956368
12,GhostFaceNet,celeba_pairs,impersonation_attack,Facenet512,ATT,0.2378569741411197
26,GhostFaceNet,celeba_pairs,impersonation_attack,Facenet512,ATT,-0.09789572028536356
34,GhostFaceNet,celeba_pairs,impersonation_attack,Facenet512,ATT,0.1469782961969891
3,GhostFaceNet,vggface2_pairs,impersonation_attack,Facenet512,ATT,0.037832152487003536
5,GhostFaceNet,vggface2_pairs,impersonation_attack,Facenet512,ATT,-0.0671079019065403
17,GhostFaceNet,vggface2_pairs,impersonation_attack,Facenet512,ATT,0.26533787223325916
19,GhostFaceNet,vggface2_pairs,impersonation_attack,Facenet512,ATT,-0.07211814327317104
21,GhostFaceNet,vggface2_pairs,impersonation_attack,Facenet512,ATT,-0.03217392367090596
6,GhostFaceNet,lfw_pairs,dodging_attack,Facenet512,ATT,0.5376819461947556
9,GhostFaceNet,lfw_pairs,dodging_attack,Facenet512,ATT,0.8197943473950845
15,GhostFaceNet,lfw_pairs,dodging_attack,Facenet512,ATT,0.4563694213325474
16,GhostFaceNet,lfw_pairs,dodging_attack,Facenet512,ATT,0.7967521072862181
23,GhostFaceNet,lfw_pairs,dodging_attack,Facenet512,ATT,0.6369947504301853
18,GhostFaceNet,celeba_pairs,dodging_attack,Facenet512,ATT,0.49077581528948894
27,GhostFaceNet,celeba_pairs,dodging_attack,Facenet512,ATT,0.6071169630510667
28,GhostFaceNet,celeba_pairs,dodging_attack,Facenet512,ATT,0.7210235443226267
30,GhostFaceNet,celeba_pairs,dodging_attack,Facenet512,ATT,0.43162827224573863
33,GhostFaceNet,celeba_pairs,dodging_attack,Facenet512,ATT,0.8376704528481241
1,GhostFaceNet,vggface2_pairs,dodging_attack,Facenet512,ATT,0.7490812156400656
4,GhostFaceNet,vggface2_pairs,dodging_attack,Facenet512,ATT,0.25229474998084545
7,GhostFaceNet,vggface2_pairs,dodging_attack,Facenet512,ATT,0.48635057993435404
10,GhostFaceNet,vggface2_pairs,dodging_attack,Facenet512,ATT,0.7530528007512126
11,GhostFaceNet,vggface2_pairs,dodging_attack,Facenet512,ATT,0.40848526042558414
0,VGG-Face,lfw_pairs,impersonation_attack,Facenet512,ATT,0.571620243360545
32,VGG-Face,lfw_pairs,impersonation_attack,Facenet512,ATT,0.4976553421707759
48,VGG-Face,lfw_pairs,impersonation_attack,Facenet512,ATT,0.035904296773063026
57,VGG-Face,lfw_pairs,impersonation_attack,Facenet512,ATT,0.49683378461246014
60,VGG-Face,lfw_pairs,impersonation_attack,Facenet512,ATT,0.5487566681592468
2,VGG-Face,celeba_pairs,impersonation_attack,Facenet512,ATT,0.2746141508056086
8,VGG-Face,celeba_pairs,impersonation_attack,Facenet512,ATT,0.25876290907955174
12,VGG-Face,celeba_pairs,impersonation_attack,Facenet512,ATT,0.4075550043192553
26,VGG-Face,celeba_pairs,impersonation_attack,Facenet512,ATT,0.13135536884724464
34,VGG-Face,celeba_pairs,impersonation_attack,Facenet512,ATT,0.6512007140179241
3,VGG-Face,vggface2_pairs,impersonation_attack,Facenet512,ATT,0.24949056625128893
5,VGG-Face,vggface2_pairs,impersonation_attack,Facenet512,ATT,0.2158269427727184
17,VGG-Face,vggface2_pairs,impersonation_attack,Facenet512,ATT,0.506307762946824
19,VGG-Face,vggface2_pairs,impersonation_attack,Facenet512,ATT,0.07753777624152741
21,VGG-Face,vggface2_pairs,impersonation_attack,Facenet512,ATT,0.07543738291930255
6,VGG-Face,lfw_pairs,dodging_attack,Facenet512,ATT,0.14417833958870627
9,VGG-Face,lfw_pairs,dodging_attack,Facenet512,ATT,0.7157446565718335
15,VGG-Face,lfw_pairs,dodging_attack,Facenet512,ATT,0.07523352603620113
16,VGG-Face,lfw_pairs,dodging_attack,Facenet512,ATT,0.06262356033117135
23,VGG-Face,lfw_pairs,dodging_attack,Facenet512,ATT,0.4491178544465341
18,VGG-Face,celeba_pairs,dodging_attack,Facenet512,ATT,0.2842190884553116
27,VGG-Face,celeba_pairs,dodging_attack,Facenet512,ATT,0.3657106639741524
28,VGG-Face,celeba_pairs,dodging_attack,Facenet512,ATT,0.4509660587834833
30,VGG-Face,celeba_pairs,dodging_attack,Facenet512,ATT,0.11489073397598804
33,VGG-Face,celeba_pairs,dodging_attack,Facenet512,ATT,0.6387789150638569
1,VGG-Face,vggface2_pairs,dodging_attack,Facenet512,ATT,-0.0495532006857237
4,VGG-Face,vggface2_pairs,dodging_attack,Facenet512,ATT,0.061783747609573815
7,VGG-Face,vggface2_pairs,dodging_attack,Facenet512,ATT,0.26811187480581394
10,VGG-Face,vggface2_pairs,dodging_attack,Facenet512,ATT,0.48844078598271784
11,VGG-Face,vggface2_pairs,dodging_attack,Facenet512,ATT,-0.03210868150824922
0,ArcFace,lfw_pairs,impersonation_attack,GhostFaceNet,ATT,0.13283142705754278
32,ArcFace,lfw_pairs,impersonation_attack,GhostFaceNet,ATT,0.12902177884529364
48,ArcFace,lfw_pairs,impersonation_attack,GhostFaceNet,ATT,0.06005760806136358
57,ArcFace,lfw_pairs,impersonation_attack,GhostFaceNet,ATT,0.13123564019197245
60,ArcFace,lfw_pairs,impersonation_attack,GhostFaceNet,ATT,0.04687740391533593
2,ArcFace,celeba_pairs,impersonation_attack,GhostFaceNet,ATT,0.2292460171827886
8,ArcFace,celeba_pairs,impersonation_attack,GhostFaceNet,ATT,0.09721566979780061
12,ArcFace,celeba_pairs,impersonation_attack,GhostFaceNet,ATT,0.10357814835057326
26,ArcFace,celeba_pairs,impersonation_attack,GhostFaceNet,ATT,0.10729999334432941
34,ArcFace,celeba_pairs,impersonation_attack,GhostFaceNet,ATT,0.2810886141009307
3,ArcFace,vggface2_pairs,impersonation_attack,GhostFaceNet,ATT,0.16184989137370787
5,ArcFace,vggface2_pairs,impersonation_attack,GhostFaceNet,ATT,0.20405161619528528
17,ArcFace,vggface2_pairs,impersonation_attack,GhostFaceNet,ATT,0.14602025432701446
19,ArcFace,vggface2_pairs,impersonation_attack,GhostFaceNet,ATT,0.036535896693085115
21,ArcFace,vggface2_pairs,impersonation_attack,GhostFaceNet,ATT,0.19092404639149932
6,ArcFace,lfw_pairs,dodging_attack,GhostFaceNet,ATT,0.10326679918031689
9,ArcFace,lfw_pairs,dodging_attack,GhostFaceNet,ATT,0.21725967073883962
15,ArcFace,lfw_pairs,dodging_attack,GhostFaceNet,ATT,0.23119876895582997
16,ArcFace,lfw_pairs,dodging_attack,GhostFaceNet,ATT,0.19432351871573864
23,ArcFace,lfw_pairs,dodging_attack,GhostFaceNet,ATT,0.2193247869190577
18,ArcFace,celeba_pairs,dodging_attack,GhostFaceNet,ATT,0.4496908017601447
27,ArcFace,celeba_pairs,dodging_attack,GhostFaceNet,ATT,0.4934858563241599
28,ArcFace,celeba_pairs,dodging_attack,GhostFaceNet,ATT,0.2956323414011796
30,ArcFace,celeba_pairs,dodging_attack,GhostFaceNet,ATT,0.28138778274261317
33,ArcFace,celeba_pairs,dodging_attack,GhostFaceNet,ATT,0.2049972572610034
1,ArcFace,vggface2_pairs,dodging_attack,GhostFaceNet,ATT,0.2766279283181727
4,ArcFace,vggface2_pairs,dodging_attack,GhostFaceNet,ATT,-0.001500785111052341
7,ArcFace,vggface2_pairs,dodging_attack,GhostFaceNet,ATT,0.1709828319744706
10,ArcFace,vggface2_pairs,dodging_attack,GhostFaceNet,ATT,0.30762396561060684
11,ArcFace,vggface2_pairs,dodging_attack,GhostFaceNet,ATT,0.2916189368210149
0,Facenet512,lfw_pairs,impersonation_attack,GhostFaceNet,ATT,0.08975511872476281
32,Facenet512,lfw_pairs,impersonation_attack,GhostFaceNet,ATT,0.13889869332149193
48,Facenet512,lfw_pairs,impersonation_attack,GhostFaceNet,ATT,0.10208545620226618
57,Facenet512,lfw_pairs,impersonation_attack,GhostFaceNet,ATT,0.15451533752035218
60,Facenet512,lfw_pairs,impersonation_attack,GhostFaceNet,ATT,0.009058251144171877
2,Facenet512,celeba_pairs,impersonation_attack,GhostFaceNet,ATT,0.27000742713709386
8,Facenet512,celeba_pairs,impersonation_attack,GhostFaceNet,ATT,0.16851237307848121
12,Facenet512,celeba_pairs,impersonation_attack,GhostFaceNet,ATT,0.12053290588521279
26,Facenet512,celeba_pairs,impersonation_attack,GhostFaceNet,ATT,0.07508892885865444
34,Facenet512,celeba_pairs,impersonation_attack,GhostFaceNet,ATT,0.2854943829696588
3,Facenet512,vggface2_pairs,impersonation_attack,GhostFaceNet,ATT,0.1638685338711158
5,Facenet512,vggface2_pairs,impersonation_attack,GhostFaceNet,ATT,0.1737917325175373
17,Facenet512,vggface2_pairs,impersonation_attack,GhostFaceNet,ATT,0.18520799933812968
19,Facenet512,vggface2_pairs,impersonation_attack,GhostFaceNet,ATT,-0.008553782454176494
21,Facenet512,vggface2_pairs,impersonation_attack,GhostFaceNet,ATT,0.1800222928512494
6,Facenet512,lfw_pairs,dodging_attack,GhostFaceNet,ATT,0.20849363883823346
9,Facenet512,lfw_pairs,dodging_attack,GhostFaceNet,ATT,0.18453162842954512
15,Facenet512,lfw_pairs,dodging_attack,GhostFaceNet,ATT,0.15858212859396884
